number,name,description,image
586GY-82,Ameillia Collection ,"The solid, clean lines of the Arts and Crafts movement are interpreted from modern times in the Ameillia Collection. Substantial tapered legs and the wood veneer complement this simple and refined dining offering. Newly offered in a grey with brown undertone finish, the collection is also available in a dark oak finish. The rectangular table is flanked by the perfectly coordinating chair or bench option.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/586GY-82.jpg
8229 Sectional,Amite Collection,"Ultra-modern design combined with convenient function makes the Amite Collection a stylish addition to your contemporary home. Beige leather gel match is perfectly complemented by dark brown accenting on the seatbacks, seats and arms, providing contrast and definition to the profile of the collection. With the push of the power reclining mechanism, the end and armless reclining chairs recline to the prone position. The console unit features hidden storage as well as cup holders for convenient functional use. The corner center unit and stationary armless chair do not recline.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8229DG.jpg
5178-60,Watt Collection,Blending the visual impact of marble with the hyper-stylized look of metalwork is the Watt Collection. An intricately designed chrome finished metal base rises to support the faux marble look of the table top while continuous frame chairs – offered in dark grey or camel brown fabric with contrast stitching – further lend to the contemporary feel of this casual dining collection.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5178-60 5178BRS.jpg
4728AK,Elwell Collection ,The wedge shape of the Elwell chair-side table allows for placement in the smallest of spaces while still providing ample space for a small table lamp or accessory display.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/4728AK Front.jpg
8202CH-3,Sinclair Collection ,"A hint of retro styling provides a clean and classic look for your contemporary home in the Sinclair Collection. Offered in a traditional seating or sectional configuration, the options allow for the perfect placement within your living room. The collection is available in either chocolate or gray fabric with contrast pillows that furthers the look and versatility for placement within a number of home decors.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8202CH.jpg
4732PU, ,"Moving through your living space with the greatest of ease is the Fleming Collection. Situated on casters, the multi-functional ottoman features display storage and defined quad seating that, when turned over, can be used as serving trays.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/4732PU.jpg
4728ES,Elwell Collection ,The wedge shape of the Elwell chair-side table allows for placement in the smallest of spaces while still providing ample space for a small table lamp or accessory display.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/4728ES Front.jpg
8237PU-1PW,Ridder Collection ,"In the Ridder Collection, transitional styling allows for placement in a number of environments, making it a versatile and functional choice for your living room. Dark brown bi-cast vinyl furthers the decorative versatility of this plush power reclining chair.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8237PU-1PW.jpg
4738PU,Blasey Collection ,"Convenient, stylish storage space will be added to your home with the dark brown bi-cast vinyl upholstered Blasey Collection. When turned over, the comfortable ottoman bench seating reveals a functional service tray and removable seating cubes.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/4738PU opened.jpg
4728BK,Elwell Collection ,The wedge shape of the Elwell chair-side table allows for placement in the smallest of spaces while still providing ample space for a small table lamp or accessory display.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/4728BK Front.jpg
5876GY-1DW*,Neunan Collection,"The distinct mansion style headboard of the Neunan Collection provides an elegant focal point for your bedroom. With styling that lends to placement in contemporary or transitional environments, the clean lines await your personal touch. Drawer builds into the footboard, providing additional function to storage your essentials. The bed is offered in one of three fabric coverings – Beige, Brown and Dark Gray.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5876GY-1DW.jpg
4738PU,Blasey Collection ,"Convenient, stylish storage space will be added to your home with the dark brown bi-cast vinyl upholstered Blasey Collection. When turned over, the comfortable ottoman bench seating reveals a functional service tray and removable seating cubes.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/4738PU opened.jpg
5554-30,Trammel Collection ,"The traditional brown mahogany finish and unique shape makes the Trammel Collection a perfect addition to your living room. Serpentine lines form the boxed table tops, each edged with short grain mahogany border. Wheat sheaf carved accents top spiral turned legs while display shelving is supported by traditional bun feet.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5554-30.jpg
2538-60,Devlin Collection ,The Devlin Collection offers the classic look of transitional styling with a nod to the Arts & Craft movement all in a well appointed six-piece group. Neutral tone fabric covers the seats of the chairs and bench in the espresso finished collection. Notch accent completes the look of the collection.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/2538-60_2014D-188.jpg
5874GY-1*,Carlow Collection,"Modern traditional styling is achieved with the design of the Carlow Collection. The profile of the camelback headboard is accented with nailhead furthering the traditional look. Velvet fabric covers bed and offered in three options- Teal, Navy and Gray.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5874GY-1.jpg
1234-1,Parlier Collection ,"Delicate carvings and a woven rattan back grace the show wood frame in the Parlier Collection. The enhanced texture of the wood grain is highlighted by a grey weathered finish, while a natural color fabric covers the plush feather down seating in this elegant offering. The coordinating ottoman allows for the achievement of ultimate relaxation.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1234-1 1234-4.jpg
5503,Yannis Collection ,Sleek contemporary styling provides the platform from which you will create your casual dining space in the Yannis Collection. Ultra-bright high gloss finish of the tabletop and V-shaped support provides a distinct contrast to the high polish chrome base plate. The continuous base of the accenting chairs rises to support gray bi-cast vinyl seats with diamond pattern stitching providing additional visual interest. A smooth glide system opens with ease to reveal the self-storing butterfly leaf.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5503.jpg
